p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,group
8.811651618495147e-10,0.4094641266210325,0.366,0.295,1.876793678223281e-5,6,NCOA7,all
9.024095267285553e-10,0.9726028694670807,0.119,0.071,1.92204205097915e-5,6,APOBEC3G,all
9.510579879494298e-10,0.6424473713996157,0.179,0.12,2.0256584085334905e-5,6,MSC-AS1,all
1.0671936484177992e-9,0.4183969146758557,0.36,0.288,2.2730157517650705e-5,6,CD109,all
1.0734702804882117e-9,0.25980509068633534,0.58,0.511,2.2863843504118422e-5,6,TNFRSF1A,all
1.1125743522130536e-9,0.5847114192063174,0.262,0.195,2.369672112778583e-5,6,SURF1,all
1.1289609711336154e-9,0.4600033118332123,0.298,0.225,2.4045739724174876e-5,6,NPDC1,all
1.203763706527297e-9,0.43198965159064817,0.356,0.286,2.56389631853249e-5,6,CCNL2,all
1.2431992984581252e-9,0.4492929694218868,0.318,0.246,2.6478901857859608e-5,6,LPCAT2,all
1.484676702145906e-9,0.8026737328790974,0.144,0.091,3.162212907900565e-5,6,ANKRA2,all
1.4858097980777687e-9,0.6267865673096242,0.188,0.13,3.16462628892584e-5,6,ADGRA2,all
1.5358245372254869e-9,0.38269024262806645,0.473,0.406,3.2711526818365644e-5,6,TMEM205,all
1.6040636597112283e-9,0.32718005602540234,0.498,0.433,3.416495188818945e-5,6,DHRS7,all
1.6148174439794218e-9,0.37064557883457583,0.357,0.285,3.4393996739317704e-5,6,RSF1,all
1.6189908124754675e-9,0.35520413609511936,0.468,0.389,3.4482885314914985e-5,6,COMMD3,all
1.6976362757285532e-9,0.8442965457073655,0.134,0.084,3.615795503674245e-5,6,PLPPR2,all
1.947779817535553e-9,0.6512953173574827,0.188,0.13,4.1485762333689745e-5,6,ABRAXAS1,all
2.1217930955496075e-9,0.4222685095570913,0.332,0.262,4.519207114211109e-5,6,STX5,all
2.142563300805922e-9,0.2955930426056628,0.518,0.456,4.563445574386533e-5,6,PNKD,all
2.2176059000990235e-9,0.7102483844359728,0.171,0.114,4.72327880662091e-5,6,KCNE4,all
2.3047798597582434e-9,0.7904012292875144,0.122,0.075,4.9089506232990827e-5,6,NFKBIL1,all
2.332333872624166e-9,0.5575529260222623,0.267,0.202,4.967637915302211e-5,6,HACD4,all
3.1755016932192413e-9,0.5134619680071766,0.257,0.191,6.763501056387662e-5,6,TSTD1,all
3.757520361559604e-9,0.6662359578940493,0.127,0.079,8.0031426180858e-5,6,TPD52L1,all
3.782611320374188e-9,0.6547939696701972,0.188,0.13,8.056583851264983e-5,6,LINC01615,all
3.906419455420216e-9,0.4304040591778431,0.289,0.22,8.320282798099517e-5,6,TRIM24,all
4.120794770180829e-9,0.40786646708120483,0.485,0.428,8.776880781008147e-5,6,ITPRID2,all
4.229106171918702e-9,0.8454317040928458,0.107,0.063,9.007573235569644e-5,6,RRAGB,all
4.51429082280056e-9,0.5972294084789822,0.197,0.137,9.614988023482914e-5,6,KBTBD3,all
4.590090425800845e-9,0.25999437583139573,0.575,0.518,9.77643359791322e-5,6,ANPEP,all
4.927826102104249e-9,0.6529707418025565,0.166,0.111,1.0495776814871841e-4,6,LINC00205,all
5.680445743629406e-9,0.48949184462817685,0.324,0.261,1.209878138935627e-4,6,DHRSX,all
5.8188182823052235e-9,0.2648204835433557,0.669,0.606,1.2393501059481895e-4,6,EIF1B,all
5.946948790264806e-9,0.708619634141288,0.154,0.101,1.266640622838501e-4,6,IL17RC,all
6.1049388919640134e-9,0.37553696715454365,0.376,0.31,1.300290934599415e-4,6,ATRX,all
7.141569012671057e-9,0.449815988466274,0.328,0.26,1.5210827840088085e-4,6,YIPF2,all
7.65638961269526e-9,0.6511772300220424,0.202,0.144,1.6307344236079634e-4,6,STN1,all
7.795053895938396e-9,0.7306259044287735,0.12,0.074,1.660268529295919e-4,6,PCED1A,all
8.118485788086228e-9,0.4792691242048459,0.286,0.222,1.7291562880044858e-4,6,TENT5A,all
8.788525689203413e-9,0.6221457963556827,0.194,0.138,1.8718680865434349e-4,6,RESF1,all
9.050305563219101e-9,0.856228425734368,0.138,0.09,1.9276245819100363e-4,6,SCRN2,all
9.106528893850958e-9,0.37810400313706194,0.423,0.362,1.9395995891013156e-4,6,ACOT13,all
9.317860213216218e-9,0.6204686577131147,0.189,0.132,1.9846110468129224e-4,6,TRIM22,all
9.699786591034433e-9,0.5148461744636652,0.249,0.187,2.065957546024424e-4,6,IFT27,all
1.1379286492030246e-8,0.6440479760111852,0.17,0.116,2.4236742299375223e-4,6,GAA,all
1.1513271765421543e-8,0.5959307921133616,0.187,0.13,2.4522117533171345e-4,6,TRADD,all
1.1695233290459277e-8,0.7238380362700767,0.194,0.139,2.4909677385349217e-4,6,TST,all
1.2289402155725195e-8,0.2629977201252912,0.574,0.504,2.617519765147909e-4,6,JAK1,all
1.232184824319636e-8,0.7545810123581376,0.126,0.08,2.624430457318393e-4,6,FCHSD2,all
1.2452703387911631e-8,0.4875704207298761,0.257,0.193,2.652301294591298e-4,6,MAGEH1,all
1.2905721861867654e-8,0.6583006805549183,0.193,0.137,2.7487896993591917e-4,6,DNAJB9,all
1.290812579880601e-8,0.2905130600188809,0.522,0.46,2.749301713887692e-4,6,IDH1,all
1.349454766751202e-8,0.26212376196284787,0.567,0.509,2.874203707703385e-4,6,ITGA5,all
1.3700875076979434e-8,0.34246841426060914,0.277,0.21,2.9181493826458494e-4,6,ME1,all
1.3720539305907686e-8,0.4151297444260982,0.347,0.283,2.922337666765278e-4,6,EMC10,all
1.4233241264378031e-8,0.7073138497634359,0.186,0.131,3.0315380568998767e-4,6,PNPLA4,all
1.4267646063980376e-8,0.5431410888009782,0.248,0.188,3.0388659351671804e-4,6,EBLN3P,all
1.491207689269942e-8,0.7716129055663443,0.103,0.061,3.1761232573760496e-4,6,MAP3K12,all
1.4931513820703836e-8,0.7283281218205828,0.116,0.071,3.18026312867171e-4,6,PIK3R1,all
1.5449959973829157e-8,0.6376574118598999,0.14,0.091,3.290686974825872e-4,6,PLD1,all
1.5890069558396936e-8,0.30197375337969157,0.402,0.338,3.3844259152429634e-4,6,OS9,all
1.6211396207704254e-8,0.6101230085820022,0.198,0.141,3.4528652782789287e-4,6,IRF2,all
1.6319111839327516e-8,0.6303351837884015,0.169,0.115,3.4758076306583676e-4,6,SHFL,all
1.6411643783740856e-8,0.4549457634716574,0.205,0.144,3.495516009498965e-4,6,SVIL,all
1.660994614008369e-8,0.6925020481926665,0.129,0.082,3.537752428376425e-4,6,KAT6B,all
