p,avg_Log2FC,pct.1,pct.2,p_adj,cluster_my,symbol,group
0.0011732434471973167,-0.5012525461738453,0.08,0.108,1,2,USP1,all
0.0011750133700113752,-0.49010302363818137,0.093,0.121,1,2,DDA1,all
0.0011755523139828413,0.2818869005368718,0.083,0.06,1,2,SGTA,all
0.0011760358194612354,-5.147104541958975,0,0.007,1,2,BBOF1,all
0.0011760358208259222,-4.907329464881274,0,0.007,1,2,HAR1B,all
0.001176784724847132,-0.25378544542072845,0.105,0.136,1,2,FAM103A1,all
0.0011796505482760597,-2.0048091603425493,0.007,0.019,1,2,PRSS27,all
0.0011816131139972745,-1.013455787877132,0.032,0.052,1,2,GTF2H3,all
0.001185945300316122,1.2189343480955754,0.013,0.005,1,2,SLC45A4,all
0.0011878717877177162,-0.52189750675151525,0.082,0.109,1,2,TRIP11,all
0.0011887053254591117,2.3090537438222327,0.009,0.003,1,2,KCNK7,all
0.0011887597869556395,0.18338185265552287,0.076,0.054,1,2,TRIM26,all
0.001191819425350364,-1.5711804262846094,0.005,0.016,1,2,LINC00094,all
0.0011930927936963727,-0.7970014394013525,0.022,0.04,1,2,CATSPER2,all
0.0011938401899515673,-0.5628162973038076,0.089,0.116,1,2,AMZ2,all
0.001197682018340145,-0.21851240799114227,0.28,0.318,1,2,PPIG,all
0.001203193968210417,-1.1708659011209726,0.022,0.039,1,2,MYO6,all
0.0012064672164524175,-0.634691743589052,0.081,0.107,1,2,COLEC12,all
0.0012065187942928816,-0.964935209859128,0.025,0.043,1,2,AC002117.1,all
0.0012089113585508726,1.7620295780843227,0.009,0.003,1,2,KB-1507C5.4,all
0.0012129808228963676,-0.694365281603802,0.024,0.042,1,2,TMEM161B-AS1,all
0.0012175278865278443,-0.7540618572773297,0.03,0.049,1,2,SPTLC1,all
0.0012197317175399061,0.3587124750495332,0.109,0.082,1,2,FAM192A,all
0.0012255662396731214,-2.0920975852737174,0.004,0.014,1,2,DBN1,all
0.0012270250936362392,0.4645845993791775,0.091,0.067,1,2,KBTBD2,all
0.001228904035347461,1.3441313620174284,0.009,0.003,1,2,AC005264.2,all
0.0012291443806920163,-2.5521262248139243,0.002,0.011,1,2,CCDC7,all
0.0012320376060331363,0.7528568990256783,0.037,0.023,1,2,TBC1D7,all
0.0012323093156350587,-1.418813721630496,0.006,0.017,1,2,KCNK3,all
0.0012340863431076167,-0.6740489382466024,0.06,0.085,1,2,RECQL,all
0.0012400111621622529,-2.2770772410060847,0.006,0.017,1,2,IFT80,all
0.0012427742226431236,-0.5067861067577182,0.105,0.133,1,2,NCBP2,all
0.0012461012987105683,-0.4396668081416619,0.06,0.086,1,2,PSMD14,all
0.0012525948939499764,0.5269807354431251,0.037,0.023,1,2,ZNF654,all
0.0012542939530931648,-1.2987864565623113,0.011,0.025,1,2,RP11-440L14.1,all
0.001254677791035274,0.5157062142762907,0.021,0.011,1,2,MCU,all
0.0012562921077337442,-1.0508783245571989,0.009,0.022,1,2,ZNF584,all
0.0012614656159720835,0.2820555972993942,0.182,0.148,1,2,SNAP23,all
0.0012671747473347898,-1.7367111896717855,0.006,0.018,1,2,C14orf93,all
0.0012700377666431332,-0.3638966081886077,0.164,0.196,1,2,YTHDF2,all
0.0012712195341557627,-2.9219235715365937,0.004,0.014,1,2,PLCH2,all
0.0012724316069360005,-0.38685887360928706,0.12,0.15,1,2,SLBP,all
0.0012741025235543137,-0.40910537085321996,0.122,0.153,1,2,ZNF638,all
0.0012784448197983788,0.3956904375496779,0.056,0.038,1,2,GALNT6,all
0.001278447748325041,-0.07445638017261325,0.562,0.621,1,2,COX7A2,all
0.0012806619496693525,-0.5744251922032952,0.026,0.044,1,2,TRIM72,all
0.0012811441471667745,0.5052538854747382,0.069,0.049,1,2,VPS41,all
0.0012828024113724602,1.9117364251356879,0.006,0.002,1,2,TRNP1,all
0.0012829529871309995,-1.0403877364570082,0.033,0.052,1,2,C6orf47,all
0.0012869511908995951,-0.6193378373433862,0.093,0.119,1,2,SSBP3,all
0.0012882808198664277,-1.039978551556302,0.024,0.042,1,2,RNMTL1,all
0.001293689144916391,0.5736543218786947,0.026,0.015,1,2,RP11-468E2.5,all
0.0012963725381989772,-0.8114014795499642,0.042,0.063,1,2,TTC21B,all
0.0012975978745328408,-0.432283818789881,0.08,0.107,1,2,ESF1,all
0.0012978968850588827,-1.3407648806223316,0.011,0.024,1,2,DND1,all
0.0012991068441745594,-0.7257912435012503,0.04,0.061,1,2,SDHAF3,all
